"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"57","5befab98-bc6e-4039-8315-eed54f8cce0f","Akademia Muzyczna im. Krzysztofa Pendereckiego w Krakowie","1888-02-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275719","6750007587","","312","","","https://www.amuz.krakow.pl","rektor@amuz.krakow.pl","+48 12 422 04 55","/AkademiaMuzycznawKrakowie/SkrytkaESP","Polska","małopolskie","ul. św. Tomasza","43","31-027","Kraków","Wojciech Widłak - Rektor","8786c82b-9267-4436-881b-99c32dd44302",,,,,"Akademia Muzyczna w Krakowie","1888-02-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1888-02-01","Działająca","1888-02-01","akademicka","1888-02-01","ul. św. Tomasza 43, 31-027 Kraków, woj. małopolskie, Polska","1888-02-01"
"58","91ab4da1-a170-40fc-a351-2339b7ef3899","Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku","1947-10-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275754","5830015884","","310","","","http://www.amuz.gda.pl/","rektorat@amuz.gda.pl","+48583009200","/AMuzGdansk/SkrytkaESP","Polska","pomorskie","ul. Łąkowa","1-2","80-743","Gdańsk","Ryszard Jerzy Minkiewicz - Rektor","f30cea1b-b771-4114-87b2-a9009bfb5346",,,,,"Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku","1947-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1947-10-01","Działająca","1947-10-01","akademicka","1947-10-01","ul. Łąkowa 1-2, 80-743 Gdańsk, woj. pomorskie, Polska","1947-10-01"
"59","e45fc816-fbf4-4e46-adfa-89c07c084f45","Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie","1922-01-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001488","5250005840","","288","","","http://www.aps.edu.pl","aps@aps.edu.pl","22 589 36 00","aps/skrytka","Polska","mazowieckie","ul. Szczęśliwicka","40","02-353","Warszawa","Barbara Marcinkowska - Rektor","67b41f00-2990-403c-858e-ce16b2101dcb",,,,,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie","1922-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1922-01-01","Działająca","1922-01-01","akademicka","1922-01-01","ul. Szczęśliwicka 40, 02-353 Warszawa, woj. mazowieckie, Polska","1922-01-01"
"60","66e61654-f7b8-4e98-b641-e7ed367822b8","Akademia Piotrkowska","2023-06-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","","","","404","","","https://apt.edu.pl","poczta@apt.edu.pl","","","Polska","łódzkie","ul. Juliusza Słowackiego","114/118","97-300","Piotrków Trybunalski","Dariusz Rogut - Rektor","",,,,,"Akademia Piotrkowska","2023-06-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2023-06-01","Działająca","2023-06-01","akademicka","2023-06-01","ul. Juliusza Słowackiego 114/118, 97-300 Piotrków Trybunalski, woj. łódzkie, Polska","2023-06-01"
"61","fea43f3f-0e69-4f13-aaa3-d651e479abf8","Akademia Sztuki Wojennej","1990-10-01","Minister Obrony Narodowej","Uczelnia publiczna","Nie","","","","akademicka","","011574244","1130005367","","361","","","http://www.akademia.mil.pl/","sekretariat.aszwoj@akademia.mil.pl","22 6813401","/AONMON/SkrytkaESP","Polska","mazowieckie","al. Aleja gen. Antoniego Chruściela ""Montera""","103","00-910","Warszawa","Robert Kosowski - Rektor","",,,,,"Akademia Sztuki Wojennej","2016-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Obrony Narodowej","1990-10-01","Działająca","1990-10-01","akademicka","1990-10-01","al. Aleja gen. Antoniego Chruściela ""Montera"" 103, 00-910 Warszawa, woj. mazowieckie, Polska","1990-10-01"
"62","fea43f3f-0e69-4f13-aaa3-d651e479abf8","Akademia Sztuki Wojennej","1990-10-01","Minister Obrony Narodowej","Uczelnia publiczna","Nie","","","","akademicka","","011574244","1130005367","","361","","","http://www.akademia.mil.pl/","sekretariat.aszwoj@akademia.mil.pl","22 6813401","/AONMON/SkrytkaESP","Polska","mazowieckie","al. Aleja gen. Antoniego Chruściela ""Montera""","103","00-910","Warszawa","Robert Kosowski - Rektor","",,,,,"Akademia Obrony Narodowej","1990-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Obrony Narodowej","1990-10-01","Działająca","1990-10-01","akademicka","1990-10-01","al. Aleja gen. Antoniego Chruściela ""Montera"" 103, 00-910 Warszawa, woj. mazowieckie, Polska","1990-10-01"
"63","e3cf1bf3-bdb0-458f-9968-6243bb2df7bb","Akademia Sztuki w Szczecinie","2010-09-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","320850334","8513121799","","374","","","http://www.akademiasztuki.eu/","sekretariat@akademiasztuki.eu","664 080 223","/AkademiaSztuki/SkrytkaESP","Polska","zachodniopomorskie","pl. Orła Białego","2","70-562","Szczecin","Mirosława Jarmołowicz - Rektor","72e90aa3-6955-4fca-9a46-3c5ec4d0558c",,,,,"Akademia Sztuki w Szczecinie","2010-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","2010-09-01","Działająca","2010-09-01","akademicka","2010-09-01","pl. Orła Białego 2, 70-562 Szczecin, woj. zachodniopomorskie, Polska","2010-09-01"
"64","03efdf96-e26e-4489-82d4-20dbf57e29f8","Akademia Sztuk Pięknych im. Eugeniusza Gepperta we Wrocławiu","1946-10-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275814","8960007502","","322","","","http://asp.wroc.pl","rector@asp.wroc.pl","71 343 80 31 ","/ASP-Wroclaw/rektor","Polska","dolnośląskie","pl. Polski","3/4","50-156","Wrocław","Wojciech Pukocz - Rektor","",,,,,"Akademia Sztuk Pięknych im. Eugeniusza Gepperta we Wrocławiu","1946-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1946-10-01","Działająca","1946-10-01","akademicka","1946-10-01","pl. Polski 3/4, 50-156 Wrocław, woj. dolnośląskie, Polska","1946-10-01"
"65","6932a745-602a-4c09-8f1f-758fa30e36ac","Akademia Sztuk Pięknych im. Jana Matejki w Krakowie","1901-01-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275783","6750007570","","318","","","http://www.asp.krakow.pl/","rektor@asp.krakow.pl","+48 12 2992013","/aspkrakow/skrytka","Polska","małopolskie","pl. Plac Jana Matejki","13","31-157","Kraków","Andrzej Bednarczyk - Rektor","774e5dc5-7c62-4521-a4a4-e95985faf5ff",,,,,"Akademia Sztuk Pięknych im. Jana Matejki w Krakowie","1901-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1901-01-01","Działająca","1901-01-01","akademicka","1901-01-01","pl. Plac Jana Matejki 13, 31-157 Kraków, woj. małopolskie, Polska","1901-01-01"
"66","c50bd2eb-f024-47a4-abb2-5f5ba6de7627","Akademia Sztuk Pięknych im. Władysława Strzemińskiego w Łodzi","1945-10-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275790","7240005348","","319","","","http://www.asp.lodz.pl","rektorat@asp.lodz.pl","+48422547400","","Polska","łódzkie","ul. Wojska Polskiego","121","91-726","Łódź","","",,,,,"Akademia Sztuk Pięknych im. Władysława Strzemińskiego w Łodzi","1945-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1945-10-01","Działająca","1945-10-01","akademicka","1945-10-01","ul. Wojska Polskiego 121/503, 91-726 Łódź, woj. łódzkie, Polska","1945-10-01"
"67","07b1296a-15ed-4caf-a2ca-1a24a57f5959","Akademia Sztuk Pięknych w Gdańsku","1945-10-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275820","5830009346","","317","","","http://www.asp.gda.pl","rektorat@asp.gda.pl","58 301 44 40","/ASPGdansk_kancelaria/SkrytkaESP","Polska","pomorskie","ul. Targ Węglowy","6","80-836","Gdańsk","Krzysztof Polkowski - Rektor","1f3a4fe3-c814-4c8d-99dc-a46a7faa1a2a",,,,,"Akademia Sztuk Pięknych w Gdańsku","1945-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1945-10-01","Działająca","1945-10-01","akademicka","1945-10-01","ul. Targ Węglowy 6, 80-836 Gdańsk, woj. pomorskie, Polska","1945-10-01"
"68","1035286a-f2d5-4650-b309-309eb37965e9","Akademia Sztuk Pięknych w Katowicach","2001-09-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","277620860","6342439334","","354","","","http://asp.katowice.pl","asp@asp.katowice.pl","327587702","/aspkatowice1/SkrytkaESP","Polska","śląskie","ul. Raciborska","37","40-074","Katowice","Grzegorz Hańderek - Rektor","7f27300b-841e-4414-811c-00866fe5525d",,,,,"Akademia Sztuk Pięknych w Katowicach","2001-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","2001-09-01","Działająca","2001-09-01","akademicka","2001-09-01","ul. Raciborska 37, 40-074 Katowice, woj. śląskie, Polska","2001-09-01"
"69","ae7be1ba-27cb-4376-96c5-e98a2c040730","Akademia Sztuk Pięknych w Warszawie","1904-10-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275777","5250008666","","321","","","http://www.asp.waw.pl","rektorat@asp.waw.pl","(22) 826 21 14","/aspwarszawa/SkrytkaESP","Polska","mazowieckie","ul. Krakowskie Przedmieście","5","00-068","Warszawa","Błażej Jan Ostoja Lniski - Rektor","67fdc3b3-744f-4abc-a312-fc35ebccefab",,,,,"Akademia Sztuk Pięknych w Warszawie","1904-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1904-10-01","Działająca","1904-10-01","akademicka","1904-10-01","ul. Krakowskie Przedmieście 5, 00-068 Warszawa, woj. mazowieckie, Polska","1904-10-01"
"70","a552e574-34c1-4df9-930b-a54b06f25b97","Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego w Krakowie","1946-10-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275843","6750007593","","323","","","http://www.ast.krakow.pl","kancelaria@ast.krakow.pl","123627112","pwst/Skład_ESP","Polska","małopolskie","ul. Straszewskiego","21-22","31-109","Kraków","Dorota Segda - Rektor","",,,,,"Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego w Krakowie","2017-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1946-10-01","Działająca","1946-10-01","akademicka","1946-10-01","ul. Straszewskiego 21-22, 31-109 Kraków, woj. małopolskie, Polska","1946-10-01"
"71","a552e574-34c1-4df9-930b-a54b06f25b97","Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego w Krakowie","1946-10-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275843","6750007593","","323","","","http://www.ast.krakow.pl","kancelaria@ast.krakow.pl","123627112","pwst/Skład_ESP","Polska","małopolskie","ul. Straszewskiego","21-22","31-109","Kraków","Dorota Segda - Rektor","",,,,,"Państwowa Wyższa Szkoła Teatralna im. Ludwika Solskiego w Krakowie","1946-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1946-10-01","Działająca","1946-10-01","akademicka","1946-10-01","ul. Straszewskiego 21-22, 31-109 Kraków, woj. małopolskie, Polska","1946-10-01"
"72","4ab10dcb-1c97-4a34-94a6-70107b058fd0","Akademia Śląska","2003-12-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","278168801","6342513160","","037","286","","http://www.wst.pl","wst@wst.com.pl","32 60 72 400","/WST/skrytka","Polska","śląskie","ul. Rolna","43","40-555","Katowice","Aleksander Ostenda - Rektor","f2139773-1649-4c80-b63a-c7a0aee2dc1b",,,,,"Akademia Śląska","2022-11-02",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-12-15","Działająca","2003-12-15","zawodowa","2003-12-15","ul. Rolna 43, 40-555 Katowice, woj. śląskie, Polska","2003-12-15"
"73","4ab10dcb-1c97-4a34-94a6-70107b058fd0","Akademia Śląska","2003-12-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","278168801","6342513160","","037","286","","http://www.wst.pl","wst@wst.com.pl","32 60 72 400","/WST/skrytka","Polska","śląskie","ul. Rolna","43","40-555","Katowice","Aleksander Ostenda - Rektor","f2139773-1649-4c80-b63a-c7a0aee2dc1b",,,,,"Akademia Śląska","2022-11-02",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-12-15","Działająca","2003-12-15","akademicka","2022-10-01","ul. Rolna 43, 40-555 Katowice, woj. śląskie, Polska","2003-12-15"
"74","4ab10dcb-1c97-4a34-94a6-70107b058fd0","Akademia Śląska","2003-12-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","278168801","6342513160","","037","286","","http://www.wst.pl","wst@wst.com.pl","32 60 72 400","/WST/skrytka","Polska","śląskie","ul. Rolna","43","40-555","Katowice","Aleksander Ostenda - Rektor","f2139773-1649-4c80-b63a-c7a0aee2dc1b",,,,,"Wyższa Szkoła Techniczna w Katowicach","2003-12-15",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-12-15","Działająca","2003-12-15","zawodowa","2003-12-15","ul. Rolna 43, 40-555 Katowice, woj. śląskie, Polska","2003-12-15"
"75","4ab10dcb-1c97-4a34-94a6-70107b058fd0","Akademia Śląska","2003-12-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","278168801","6342513160","","037","286","","http://www.wst.pl","wst@wst.com.pl","32 60 72 400","/WST/skrytka","Polska","śląskie","ul. Rolna","43","40-555","Katowice","Aleksander Ostenda - Rektor","f2139773-1649-4c80-b63a-c7a0aee2dc1b",,,,,"Wyższa Szkoła Techniczna w Katowicach","2003-12-15",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-12-15","Działająca","2003-12-15","akademicka","2022-10-01","ul. Rolna 43, 40-555 Katowice, woj. śląskie, Polska","2003-12-15"
"76","9dc46d5f-ff3d-4691-9018-4e3993838b3d","Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie","1946-08-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275837","5251589168","","325","","","http://www.at.edu.pl","biuro.rektora@e-at.edu.pl","22 831-02-16","/ATWarszawa/SkrytkaESP","Polska","mazowieckie","ul. Miodowa","22/24","00-246","Warszawa","Wojciech Malajkat - Rektor","aecfe44a-53b0-4835-aba7-9005f6801fdc",,,,,"Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie","1946-08-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1946-08-01","Działająca","1946-08-01","akademicka","1900-01-02","ul. Miodowa 22/24, 00-246 Warszawa, woj. mazowieckie, Polska","1900-01-02"
"77","ea6c2a5f-cea7-406c-84ca-cb69452fa94e","Akademia Techniczno-Humanistyczna w Bielsku-Białej","2001-07-19","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","072728961","5471943784","","275","","","http://www.ath.bielsko.pl","biurorektora@ath.bielsko.pl","33 82-79-201","/ATH_Bielsko_Biala/SkrytkaESP","Polska","śląskie","ul. Willowa","2","43-309","Bielsko-Biała","Jacek Nowakowski - Rektor","8e87c46d-0ddc-43f0-af98-6845fe717d7d",,,,,"Akademia Techniczno-Humanistyczna w Bielsku-Białej","2001-07-19",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2001-07-19","Działająca","2001-07-19","akademicka","2001-07-19","ul. Willowa 2, 43-309 Bielsko-Biała, woj. śląskie, Polska","2001-07-19"
"78","f8d0b933-97be-4910-b110-2b76fc6198f6","Akademia Wojsk Lądowych imienia generała Tadeusza Kościuszki","1967-10-01","Minister Obrony Narodowej","Uczelnia publiczna","Nie","","","","akademicka","","930388062","8961000117","","368","","","https://www.wojsko-polskie.pl/awl/","komendant@awl.edu.pl","261-658-222","/WSOWL-WROCLAW/SkrytkaESP","Polska","dolnośląskie","ul. Piotra Czajkowskiego","109","51-147","Wrocław","Piotr PŁONKA - Rektor","89e11e41-4fdd-42a1-8a14-f93f053231e5",,,,,"Akademia Wojsk Lądowych imienia generała Tadeusza Kościuszki","2017-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Obrony Narodowej","1967-10-01","Działająca","1967-10-01","akademicka","1967-10-01","ul. Piotra Czajkowskiego 109, 51-147 Wrocław, woj. dolnośląskie, Polska","1967-10-01"
"79","f8d0b933-97be-4910-b110-2b76fc6198f6","Akademia Wojsk Lądowych imienia generała Tadeusza Kościuszki","1967-10-01","Minister Obrony Narodowej","Uczelnia publiczna","Nie","","","","akademicka","","930388062","8961000117","","368","","","https://www.wojsko-polskie.pl/awl/","komendant@awl.edu.pl","261-658-222","/WSOWL-WROCLAW/SkrytkaESP","Polska","dolnośląskie","ul. Piotra Czajkowskiego","109","51-147","Wrocław","Piotr PŁONKA - Rektor","89e11e41-4fdd-42a1-8a14-f93f053231e5",,,,,"Wyższa Szkoła Oficerska Wojsk Lądowych imienia generała Tadeusza Kościuszki","1967-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Obrony Narodowej","1967-10-01","Działająca","1967-10-01","akademicka","1967-10-01","ul. Piotra Czajkowskiego 109, 51-147 Wrocław, woj. dolnośląskie, Polska","1967-10-01"
"80","69309128-a485-48bf-b8fb-006187190299","Akademia WSB","1995-08-04","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","272653903","6291088993","","058","66","","http://www.wsb.edu.pl","rektorat@wsb.edu.pl","32 2628560","/AkademiaWSB/SkrytkaESP","Polska","śląskie","ul. Cieplaka","1 C","41-300","Dąbrowa Górnicza","Zdzisława Dacko-Pikiewicz - Rektor","4ddabeaa-ff94-4eab-937f-8dafbdb87171",,,,,"Akademia WSB","2018-04-25",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1995-08-04","Działająca","1995-08-04","akademicka","1995-08-04","ul. Cieplaka 1 C, 41-300 Dąbrowa Górnicza, woj. śląskie, Polska","1995-08-04"
"81","69309128-a485-48bf-b8fb-006187190299","Akademia WSB","1995-08-04","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","272653903","6291088993","","058","66","","http://www.wsb.edu.pl","rektorat@wsb.edu.pl","32 2628560","/AkademiaWSB/SkrytkaESP","Polska","śląskie","ul. Cieplaka","1 C","41-300","Dąbrowa Górnicza","Zdzisława Dacko-Pikiewicz - Rektor","4ddabeaa-ff94-4eab-937f-8dafbdb87171",,,,,"Wyższa Szkoła Biznesu w Dąbrowie Górniczej","1995-08-04",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1995-08-04","Działająca","1995-08-04","akademicka","1995-08-04","ul. Cieplaka 1 C, 41-300 Dąbrowa Górnicza, woj. śląskie, Polska","1995-08-04"
"82","1ed8b72b-128f-41e7-9395-4eb66e500572","Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie","1950-07-05","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000327847","6750001952","","296","","","http://www.awf.krakow.pl","Ryszard.Marszalek@awf.krakow.pl","12-683-15-66","/AWFkrakow/SkrytkaESP","Polska","małopolskie","al. Aleja Jana Pawła II","78","31-571","Kraków","Andrzej KLIMEK - Rektor","",,,,,"Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie","1950-07-05",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1950-07-05","Działająca","1950-07-05","akademicka","1950-07-05","al. Aleja Jana Pawła II 78, 31-571 Kraków, woj. małopolskie, Polska","1950-07-05"
"83","f3b17ba6-8d96-4eee-a245-737a6775d82d","Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu","1919-04-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000327853","7770003185","","297","","","http://www.awf.poznan.pl","rektorat@awf.poznan.pl","618355000","AWF_POZNAN/skrytka","Polska","wielkopolskie","ul. Królowej Jadwigi","27/39","61-648","Poznań","Dariusz Wieliński - Rektor","95111399-56da-49e4-ab1a-79415723b491",,,,,"Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu","1919-04-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1919-04-01","Działająca","1919-04-01","akademicka","1919-04-01","ul. Królowej Jadwigi 27/39, 61-648 Poznań, woj. wielkopolskie, Polska","1919-04-01"
"84","51310d3f-60fd-43e1-a210-07d090082219","Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach","1970-09-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000327882","6340195342","","295","","","http://www.awf.katowice.pl","rektorat@awf.katowice.pl","322075152","/AWF/SkrytkaESP","Polska","śląskie","ul. Mikołowska","72 A","40-065","Katowice","Grzegorz Juras - Rektor","f120ea15-ebb5-4015-8952-e758bd659fd3",,,,,"Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach","1970-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1970-09-01","Działająca","1970-09-01","akademicka","1970-09-01","ul. Mikołowska 72 A, 40-065 Katowice, woj. śląskie, Polska","1970-09-01"
"85","04496ff8-47c8-4c64-af60-278a7de9d867","Akademia Wychowania Fizycznego im. Polskich Olimpijczyków we Wrocławiu","1946-01-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000327860","8960007519","","299","","","http://www.awf.wroc.pl","rektor@awf.wroc.pl","71 347 3101","/AWF_Wroclaw/SkrytkaESP","Polska","dolnośląskie","al. Ignacego Jana Paderewskiego","35","51-612","Wrocław","Andrzej Rokita - Rektor","",,,,,"Akademia Wychowania Fizycznego im. Polskich Olimpijczyków we Wrocławiu","2022-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1946-01-01","Działająca","1946-01-01","akademicka","1946-01-01","al. Ignacego Jana Paderewskiego 35, 51-612 Wrocław, woj. dolnośląskie, Polska","1946-01-01"
"86","04496ff8-47c8-4c64-af60-278a7de9d867","Akademia Wychowania Fizycznego im. Polskich Olimpijczyków we Wrocławiu","1946-01-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000327860","8960007519","","299","","","http://www.awf.wroc.pl","rektor@awf.wroc.pl","71 347 3101","/AWF_Wroclaw/SkrytkaESP","Polska","dolnośląskie","al. Ignacego Jana Paderewskiego","35","51-612","Wrocław","Andrzej Rokita - Rektor","",,,,,"Akademia Wychowania Fizycznego we Wrocławiu","1946-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1946-01-01","Działająca","1946-01-01","akademicka","1946-01-01","al. Ignacego Jana Paderewskiego 35, 51-612 Wrocław, woj. dolnośląskie, Polska","1946-01-01"
